classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
LYASE,,,2.55,51.5,X-RAY DIFFRACTION,Protein,"9% PEG8000, 4% MPD, 50 MM HEPES PH7.5",7.5,1999,2524,2.4,1BWV,286646.38
IMMUNE SYSTEM,,,2.26,45,X-RAY DIFFRACTION,Protein,"20% PEG 8000, 100 MM HEPES PH7 10 MG/ML PROTEIN IN 50 MM PHOSPHATE PH7, pH 7.0",7,1999,218,1.7,1BWW,23956.56
PEPTIDE HORMONE,,,,,SOLUTION NMR,Protein,,,2000,39,,1BWX,4537.27
LIPID BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1995,132,,1BWY,14666.69
ISOMERASE,,,3.2,62,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1998,274,2.72,1BWZ,30295.58
OXIDOREDUCTASE,,,2.51,49,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1998,314,1.9,1BX0,36390.37
OXIDOREDUCTASE,,,2.49,49,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1998,314,1.9,1BX1,36405.34
IMMUNE SYSTEM,,,3.2,62,X-RAY DIFFRACTION,Protein,15-18% PEG6000 100MM GLYCINE PH3.5,3.5,1998,772,2.6,1BX2,90619.79
TRANSFERASE,,289,2.35,47.66,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS CRYSTALLIZED FROM 0.01 M BES, PH 6.7, 0.003 M DTT, 0.001 M SPERMINE, 0.0001 M EDTA, 0.02 % (W/V) SODIUM AZIDE AT 16 DEGREES C. THE CRYSTALS WERE CRYOPROTECTED WITH 30% (V/V) DMSO (DIMETHYLSULFOXIDE)., temperature 289K",6.7,1999,842,2.3,1BX3,97538.34
TRANSFERASE,,,2.3,47,X-RAY DIFFRACTION,Protein,"20%PEG 4K, 0.16M MGCL2, 0.1M TRIS, PH 7.5",7.5,1998,345,1.5,1BX4,39433.52
DNA,,,,,SOLUTION NMR,DNA,,,1998,20,,1BX5,6090.01
SERINE/THREONINE-PROTEIN KINASE,,,2.5,51,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,350,2.1,1BX6,41287.81
ANTI-COAGULANT,,,2,40,X-RAY DIFFRACTION,Protein,pH 5.45,5.45,1999,55,1.2,1BX7,6078.91
ANTI-COAGULANT,,,2,40,X-RAY DIFFRACTION,Protein,pH 5.45,5.45,1999,55,1.4,1BX8,5982.85
TRANSFERASE/PEPTIDE,,,2.4,48.72,X-RAY DIFFRACTION,Protein,pH 7.00,7,1998,214,2.6,1BX9,24531.91
ELECTRON TRANSPORT,,,1.96,32,X-RAY DIFFRACTION,Protein,pH 4.38,4.38,1998,105,1.3,1BXA,11568.72
ISOMERASE,,,2.32,47,X-RAY DIFFRACTION,Protein,pH 8.8,8.8,1999,1548,2.2,1BXB,175862.69
ISOMERASE,,,2.1,41,X-RAY DIFFRACTION,Protein,pH 5.95,5.95,1999,1548,2.3,1BXC,175910.66
TRANSFERASE,,,,,SOLUTION NMR,Protein,,,1998,161,,1BXD,17923.89
RNA BINDING PROTEIN,,,2.83,56.5,X-RAY DIFFRACTION,Protein,pH 7,7,1998,113,1.9,1BXE,13008.21
AMINO ACID DEHYDROGENASE,,,2.9,58,X-RAY DIFFRACTION,Protein,pH 8.7,8.7,1999,712,2.3,1BXG,74977.06
SUGAR BINDING PROTEIN,,,2.41,49,X-RAY DIFFRACTION,Protein,"13.5% PEG 6K, 1.0M LICL, 0.1M TRIS PH 7.0",7,1999,948,2.75,1BXH,104034.7
IMMUNE SYSTEM,,,2.03,39.4,X-RAY DIFFRACTION,Protein,"24%(W/V)PEG 4K, 0.1MM SODIUM-ACETATE, PH5.3",5.3,1998,220,2.05,1BXI,24891.85
HYDROLASE,,,,,SOLUTION NMR,,,,2000,29,,1BXJ,3261.88
LYASE,,,3,58,X-RAY DIFFRACTION,Protein,15% PEG 8000 100 MM K/MES PH 6.0,6,,710,1.9,1BXK,80734.16
COMPLEX (APOPTOSIS/PEPTIDE),,,,,SOLUTION NMR,Protein,,,1997,237,,1BXL,26606.3
FUNGAL TOXIC ELICITOR,,,2.3,47,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,99,2.15,1BXM,10889.6
LYASE,,,2.44,45.8,X-RAY DIFFRACTION,Protein,pH 8.40,8.4,1999,2496,2.7,1BXN,279811.16
HYDROLASE,,,1.91,50,X-RAY DIFFRACTION,Protein,0.1 M CH3COONA 35% AMMONIUM SULFATE PH 4.6,4.6,1998,323,0.95,1BXO,34748.06
COMPLEX (TOXIN/PEPTIDE),,,,,SOLUTION NMR,Protein,,,1997,87,,1BXP,9646.09
HYDROLASE,,,1.51,18.4,X-RAY DIFFRACTION,Protein,0.1 M CH3COONA 35% SATD. AMMONIUM SULPHATE PH 4.6,4.6,1998,323,1.41,1BXQ,34983.25
AMIDOTRANSFERASE,,,3.2,62,X-RAY DIFFRACTION,Protein,pH 7.4,7.4,1999,5820,2.1,1BXR,644903.19
OXIDOREDUCTASE,,,2.6,53,X-RAY DIFFRACTION,Protein,pH 7.2,7.2,1998,2004,2.35,1BXS,222196.06
IMMUNE SYSTEM,,,2.31,46.79,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,468,1.85,1BXT,53908.57
COPPER PROTEIN,,,2.7,54.5,X-RAY DIFFRACTION,Protein,pH 5.3,5.3,1999,91,1.9,1BXU,9924.56
COPPER PROTEIN,,,2.7,54.5,X-RAY DIFFRACTION,Protein,pH 5.0,5,1999,91,1.8,1BXV,9924.56
MEMBRANE PROTEIN,,,3.7,66.7,X-RAY DIFFRACTION,Protein,10 % PEG-8000 10 % MPD 0.05 M POTASSIUM PHOSPHATE PH 5.0,5,1998,172,2.5,1BXW,19199.34
ENDOCYTOSIS/EXOCYTOSIS,"VAPOR DIFFUSION, HANGING DROP",289,4.98,75.3,X-RAY DIFFRACTION,Protein,"HANGING DROP, 2.2M NACL, 0.4M NA/K PHOSPHATE, 10MM DTT 0.1M MES PH 7.1, 15% GLYCEROL, 16DEGREES, MOLAR RATIO OF PEPTIDE TO PROTEIN 3:1, vapor diffusion - hanging drop, temperature 289K",7.1,1998,291,2.7,1BXX,33567.22
RIBOSOME,,,3.33,63.04,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,120,1.9,1BXY,13598.25
OXIDOREDUCTASE,,,2.77,57,X-RAY DIFFRACTION,Protein,pH 5.8,5.8,1999,1408,2.99,1BXZ,151576.64
RNA BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,27,,1BY0,3475.15
TRANSPORT PROTEIN,,,,,SOLUTION NMR,Protein,,,1998,209,,1BY1,23972.47
EXTRACELLULAR MODULE,,,2.6,50,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,119,2,1BY2,12926.3
MEMBRANE PROTEIN,,,3.39,64,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 33% PEG2000, 0.45 M NACL, 0.15 M NAPI (PH 6.2)  AND 0.5% N-OCTYL-2-HYDROXYETHYLSULFOXIDE",6.2,1998,714,2.74,1BY3,80373.43
GENE REGULATION/DNA,,,2.9,47,X-RAY DIFFRACTION,Protein#DNA,"25 MM TRIS BUFFER (PH 7.5),20% PEG3350, 5 MM MGCL2, 400MM NH4CL",7.5,2000,390,2.1,1BY4,58062.46
METAL BINDING PROTEIN,,,3.32,63.1,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1998,720,2.6,1BY5,81341.34
SIGNALING PROTEIN,,,,,SOLUTION NMR,Protein,,,2000,36,,1BY6,3971.44
PROTEIN BINDING,,,2.36,47.92,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,382,2,1BY7,43045.02
HYDROLASE,,,3.3,59.33,X-RAY DIFFRACTION,Protein,"8-10 % PEG 6000, 0.1M NA CITRATE, PH 5.0",5,1999,314,2.6,1BY8,35357.9
TRANSCRIPTION REGULATION,,,2.26,45.58,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1998,81,2.2,1BY9,9368.82
HYDROLASE(O-GLYCOSYL),,,2.76,55.38,X-RAY DIFFRACTION,Protein,,,1994,495,2.2,1BYA,56167.38
HYDROLASE(O-GLYCOSYL),,,2.76,55.38,X-RAY DIFFRACTION,Protein,,,1994,495,1.9,1BYB,56888
HYDROLASE(O-GLYCOSYL),,,2.76,55.38,X-RAY DIFFRACTION,Protein,,,1994,495,2.2,1BYC,56888
HYDROLASE(O-GLYCOSYL),,,2.76,55.38,X-RAY DIFFRACTION,Protein,,,1994,495,2.2,1BYD,56819.97
TRANSFERASE,,,2.64,53.38,X-RAY DIFFRACTION,Protein,pH 7.00,7,1998,852,2.8,1BYE,96807.56
SUGAR BINDING PROTEIN,,,2.8,48,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 7% PEG 8000, 0.2 M ZN(ACETATE) AND 100 MM NA(  CACODYLATE), PH 6.5",6.5,1999,250,2,1BYF,29123.55
TRANSFERASE,,,2,38,X-RAY DIFFRACTION,Protein,"VAPOUR DIFFUSION, PROTEIN SOLUTION (10 MG/ML) CONTAINING 1MM STAUROSPORINE WAS  MIXED IN 1:1 RATIO WITH THE RESERVOIR SOLUTION. THE RESERVOIR SOLUTION  CONTAINED 0.2M MGCL2, 0.1M TRISHCL PH 9.0, 24% PEG 4000.",9,1999,278,2.4,1BYG,31648.45
HYDROLASE,,,2.07,40.65,X-RAY DIFFRACTION,Protein,,,1993,214,2.8,1BYH,24393.74
LIGASE,,,2,38,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,224,0.97,1BYI,24028.29
RNA,,,,,SOLUTION NMR,RNA,,,1998,27,,1BYJ,9109.76
GENE REGULATION,,,2.7,54,X-RAY DIFFRACTION,,pH 5.2,5.2,1998,510,2.5,1BYK,56774.95
ANTIBIOTIC,,,2.3,50,X-RAY DIFFRACTION,Protein,"SEE REFERENCE 2, pH 6.0",6,1994,125,2.3,1BYL,13953.39
GENE REGULATION,,,,,SOLUTION NMR,Protein,,,1999,97,,1BYM,10609.8
ENDOCYTOSIS/EXOCYTOSIS,,,,,SOLUTION NMR,Protein,,,1998,128,,1BYN,14904.12
ELECTRON TRANSPORT,,,2.64,53,X-RAY DIFFRACTION,Protein,"53% SATURATED AMMONIUM SULFATE, 0.1 M SODIUM ACETATE BUFFER, pH 5.5",5.5,1999,198,2,1BYO,20930.11
ELECTRON TRANSPORT,,,2.54,52,X-RAY DIFFRACTION,Protein,"2.8M AMMONIUM SULFATE, 100MM POTASSIUM PHOSPHATE, pH 7.0",7,1999,99,1.75,1BYP,10479.21
CHAPERONE,,,2.14,42.56,X-RAY DIFFRACTION,Protein,pH 8.50,8.5,1998,228,1.5,1BYQ,26122.3
ENDONUCLEASE,,,2.86,55,X-RAY DIFFRACTION,Protein,"10 MG/ML PROTEIN + 2M NH4SO4, 100MM TRIS-HCL,PH 7.5",7.5,1999,155,2,1BYR,17175.42
ENDONUCLEASE,,,2.86,55,X-RAY DIFFRACTION,Protein,"10 MG/ML PROTEIN + 2M NH4SO4, 100MM TRIS-HCL, PH 7.5",7.5,1999,155,2,1BYS,17423.25
OXIDOREDUCTASE,,,2.5,50,X-RAY DIFFRACTION,,pH 5.3,5.3,1998,0,2.2,1BYT,95082.52
TRANSPORT PROTEIN,,,2.25,32,X-RAY DIFFRACTION,Protein,"SEE PUBLICATION, pH 7.2",7.2,1998,432,2.15,1BYU,49899.3
HORMONE/GROWTH FACTOR,,,,,SOLUTION NMR,Protein,,,1999,33,,1BYV,3641.11
MEMBRANE PROTEIN,,,2.49,25,X-RAY DIFFRACTION,Protein,"PROTEIN SOLUTION AT 10MG/ML IN 10MM DTT, 5 MM N-OCTYL-GLUCO MIXED WITH EQUAL VOLUME OF 100 MM HEPES PH 7.0, 0.8-1.0 M SODIUM AND POTASSIUM TARTRAT",7,1998,110,2.6,1BYW,12346.4
DNA-RNA HYBRID,,,,,SOLUTION NMR,RNA#DNA/RNA Hybrid,,,1999,16,,1BYX,5033.18
MEMBRANE PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,53,,1BYY,6266.27
DE NOVO PROTEIN,"VAPOR DIFFUSION, SITTING DROP",,1.84,14.8,X-RAY DIFFRACTION,Protein,"91% 2-METHYL-2,4-PENTANEDIOL, 78mM TRIETHANOLAMINE-HCL pH8, 52mM ETHANOLAMINE-HCL pH9.75, pH 8.0, VAPOR DIFFUSION, SITTING DROP",8,1999,52,0.9,1BYZ,6397.42
OXYGEN STORAGE/TRANSPORT,,,2.19,44,X-RAY DIFFRACTION,Protein,2.3 M AMMONIUM SULFATE 0.3 M AMMONIUM PHOSPHATE PH 6.5 10 MM FERROUS CITRATE,6.5,1993,574,1.5,1BZ0,64547.05
OXYGEN STORAGE/TRANSPORT,,,2.19,44,X-RAY DIFFRACTION,Protein,2.3 M AMMONIUM SULFATE 0.3 M AMMONIUM PHOSPHATE PH 6.5 10 MM FERROUS CITRATE,6.5,1999,576,1.59,1BZ1,64809.45
RNA,,,,,SOLUTION NMR,RNA,,,1999,17,,1BZ2,5350.19
RNA,,,,,SOLUTION NMR,RNA,,,1999,17,,1BZ3,5350.19
LIPID BINDING PROTEIN,,,2.39,48.5,X-RAY DIFFRACTION,Protein,"RT, 50MM NA-CACODYLATE, PH 5.6, 20-25% PEG 400, 1% 2-ME. NOTE : W/O 2-ME, ANOTHER ORTHORHOMBIC FORM APPEARS (SEE PDB ENTRY 1oR2).",5.6,2000,144,1.85,1BZ4,16759.08
HYDROLASE INHIBITOR,,,3.58,65.55,X-RAY DIFFRACTION,Protein,"SODIUM ACETATE BUFFER,PH=4.5 AMMONIUM SULPHATE 1.7 - 1.9M BPTI 10 - 20 MG/ML",4.5,2000,290,2.58,1BZ5,32926.03
OXYGEN STORAGE,,,1.94,36.71,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM AMMONIUM SULPHATE, 0.1 M POTASSIUM PHOSPHATE, pH 6.0",6,1999,153,1.2,1BZ6,18235.69
IMMUNE SYSTEM,,,3.14,60.79,X-RAY DIFFRACTION,Protein,pH 7.0,7,1999,423,2.5,1BZ7,45734
SIGNALING PROTEIN,,,2.3,44.92,X-RAY DIFFRACTION,Protein,pH 6.50,6.5,,252,2,1BZ8,27356.46
MURINE CLASS I MHC/PEPTIDE COMPLEX,,,2.7,54.02,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,386,2.8,1BZ9,45269.83
HYDROLASE,,,2.7,47,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,262,1.8,1BZA,28396.06
HORMONE/GROWTH FACTOR,,,,,SOLUTION NMR,Protein,,,1999,33,,1BZB,18653.43
HYDROLASE,,,3.61,65.62,X-RAY DIFFRACTION,Protein,pH 8.0,8,1998,321,2.35,1BZC,37795.93
BINDING PROTEIN,,,2.2,56.1,X-RAY DIFFRACTION,Protein,"PURIFIED PROTEIN (20MG/ML IN 25MM MONOBASIC SODIUM PHOSPHATE BUFFER, 0.15M NACL) WAS CRYSTALLIZED FROM 2M AMMONIUM SULFATE, 100MM CITRATE BUFFER, PH 5.5 AT ROOM TEMPERATURE.",5.5,1998,254,1.9,1BZD,27614.78
BINDING PROTEIN,,,2.3,54.9,X-RAY DIFFRACTION,Protein,"PURIFIED PROTEIN (10MG/ML IN TRIS BUFFER, PH 7.5) WAS CRYSTALLIZED FROM 2M AMMONIUM SULFATE, 100MM CITRATE BUFFER, PH 5.5 AT ROOM TEMPERATURE.",5.5,1998,254,1.8,1BZE,27614.9
OXIDOREDUCTASE,,,,,SOLUTION NMR,Protein,,,1999,162,,1BZF,18702.02
HORMONE,,,,,SOLUTION NMR,Protein,,,1999,34,,1BZG,4027.64
HYDROLASE/HYDROLASE INHIBITOR,,,2.72,54.47,X-RAY DIFFRACTION,Protein,pH 8.0,8,1998,305,2.1,1BZH,35725.51
HYDROLASE,,,3.63,65.8,X-RAY DIFFRACTION,Protein,pH 8.0,8,1998,297,2.25,1BZJ,34891.54
TRANSPORT PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,43,,1BZK,4628.32
OXIDOREDUCTASE,,,3.17,61,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,972,2.4,1BZL,109632.77
LYASE(OXO-ACID),,,2.02,39.14,X-RAY DIFFRACTION,Protein,,,1994,260,2,1BZM,29076.67
OXIDOREDUCTASE,,,3.4,45.88,X-RAY DIFFRACTION,Protein,"PEG 8,000 25%, NACL 100 MM, SODIUM ACETATE 50 MM, PH 4, T=28C",4,1999,151,2.1,1BZO,16482.87
OXYGEN STORAGE,,,1.97,37.53,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM AMMONIUM SULPHATE, 0.1 M POTASSIUM PHOSPHATE., pH 5.9",5.9,1999,153,1.15,1BZP,18139.63
HYDROLASE/IMMUNE SYSTEM,"VAPOR DIFFUSION, HANGING DROP",,2.11,50.77,X-RAY DIFFRACTION,Protein,"HANGING DROP METHOD. 5 MG/ML OF THE COMPLEX RESERVOIR SOLUTION IS 0.1 M POTASSIUM PHOSPHATE PH 6.4 15 TO 20% W/V PEG 8000, vapor diffusion - hanging drop",6.4,1999,992,2.8,1BZQ,108540.29
OXYGEN STORAGE,,,1.96,37.25,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM AMMONIUM SULPHATE, 0.1 M POTASSIUM PHOSPHATE, pH 5.9",5.9,1999,153,1.15,1BZR,18071.57
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",298,2.16,43,X-RAY DIFFRACTION,Protein,"PROTEIN SOLUTION: 10 MG/ML MMP8 IN 25 MM MES,   100 MM NACL, 20 MM CACL2, 0.1 MM ZNCL2, PH 6.0, WITH THREEFOLD EXCESS   INHIBITOR IN DMF ADDED. RESERVOIR SOLUTION: 10-25% (W/W) PEG6000. CRYSTALS   APPEAR IN ABOUT 1 WEEK., VAPOR DIFFUSION, HANGING DROP, temperature 298K",6,1999,165,1.7,1BZS,19216.74
RNA,,,,,SOLUTION NMR,RNA,,,1999,17,,1BZT,5350.19
RNA,,,,,SOLUTION NMR,RNA,,,1999,17,,1BZU,5350.19
HORMONE,,,,,SOLUTION NMR,Protein,,,1999,47,,1BZV,5297.05
SUGAR BINDING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",,3.18,57,X-RAY DIFFRACTION,Protein,"HANGING DROP OF 5 MG/ML PROTEIN IN 0.05 M SODIUM PHOSPHATE BUFFER,PH 7.0, CONTAINING 0.2M SODIUM CHLORIDE, 0.02 % SODIUM AZIDE, 10MM C-LACTOSE AND 12% (W/V) PEG 8000 IN THE SAME BUFFER, vapor diffusion - hanging drop",7,1998,928,2.7,1BZW,100646.85
HYDROLASE/HYDROLASE INHIBITOR,,,3.73,60,X-RAY DIFFRACTION,Protein,"0.1 M HEPES PH 7.5, 0.8-1.2 M POTASSIUM SODIUM TARTRATE",7.5,1998,280,2.1,1BZX,30429.41
PHOSPHORIBOSYLTRANSFERASE,,,1.9,35,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1999,868,2,1BZY,100268.13
OXYGEN STORAGE/TRANSPORT,,,2.19,44,X-RAY DIFFRACTION,Protein,"2.3 M AMMONIUM SULFATE 0.3 M AMMONIUM PHOSPHATE PH 6.5 10 MM FERROUS CITRATE, pH 7.0",7,1999,574,1.59,1BZZ,64611.18
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",18,2.49,50.52,X-RAY DIFFRACTION,,"20% PEG 4000, 100mM Tris, 200mM MgAc",7.5,1999,483,2,1C00,53543.11
ANTIMICROBIAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,76,,1C01,8147.05
TRANSFERASE,"VAPOR DIFFUSION, HANGING DROP",297,2.26,45.5,X-RAY DIFFRACTION,Protein,"AMMONIUM SULFATE, LITHIUM SULFATE, HEPES, PEG 400, pH 7.36, VAPOR DIFFUSION, HANGING DROP, temperature 297.0K",7.36,1999,332,1.8,1C02,38110.94
SIGNALING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",297,2.9,57.65,X-RAY DIFFRACTION,Protein,"PEG 400, ammonium sulfate, Hepes, Li2SO4, pH 7.36, VAPOR DIFFUSION, HANGING DROP, temperature 297K",7.36,1999,672,2.3,1C03,77303.2
RIBOSOME,"VAPOR DIFFUSION, HANGING DROP",292,,,X-RAY DIFFRACTION,Protein#RNA,"PEG 6000, POTASSIUM CHLORIDE, AMMONIUM CHLORIDE, MAGNESIUM CHLORIDE, ACETATE, pH 5.4, VAPOR DIFFUSION, HANGING DROP, temperature 292K",5.4,1999,590,5,1C04,82720.78
RIBOSOME,,,,,SOLUTION NMR,Protein,,,1999,159,,1C05,18624.36
RIBOSOME,,,,,SOLUTION NMR,Protein,,,1999,159,,1C06,18624.36
SIGNALING PROTEIN,,,,,SOLUTION NMR,Protein,,,2000,95,,1C07,10666.46
IMMUNE SYSTEM/HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",293,2.49,50.63,X-RAY DIFFRACTION,Protein,"HEPES, PEG6000, MPD, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.6,1999,350,2.3,1C08,38750.91
ELECTRON TRANSPORT,,281,2.16,43.1,X-RAY DIFFRACTION,Protein,"0.1M Na acetate pH 4.5, 2M ammonium sulfate, temperature 281K",4.5,1999,162,1.6,1C09,18238.21
LIGASE/RNA,"VAPOR DIFFUSION, HANGING DROP",277,3.28,62.51,X-RAY DIFFRACTION,Protein#RNA,"AMMONIUM SULFATE, GLYCEROL, BIS-TRIS-PROPANE, pH 6.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.8,1999,662,2.4,1C0A,91339.35
HYDROLASE,SMALL TUBES,295,,,X-RAY DIFFRACTION,Protein,"58% methanol (v/v), pH 4.5, SMALL TUBES, temperature 295K",4.5,1999,128,1.9,1C0B,14350.92
HYDROLASE,SMALL TUBES,295,,,X-RAY DIFFRACTION,Protein,"58% methanol (v/v), pH 4.5, SMALL TUBES, temperature 295K",4.5,1999,128,2,1C0C,14350.92
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",296,3,71.68,X-RAY DIFFRACTION,,"2.2M NaCl    0.1M Sodium Citrate (pH4)    0.3M manoheptose, VAPOR DIFFUSION, HANGING DROP, temperature 296K",4,,716,2.4,1C0D,80348.95
HYDROLASE,,,2.2,44.13,X-RAY DIFFRACTION,Protein,"PEG 4000, TRIS BUFFER, pH 7.00",7,1999,314,2.2,1C0E,36050.59
CONTRACTILE PROTEIN,"VAPOR DIFFUSION, HANGING DROP",290,3.32,62.9,X-RAY DIFFRACTION,Protein,"IMIDAZOLE, SODIUM CHLORIDE, ATP, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, SODIUM  AZIDE, DITHIOTHREITOL, PEG 6000, pH 6.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",6.6,2000,495,2.4,1C0F,55789.96
CONTRACTILE PROTEIN,"VAPOR DIFFUSION, HANGING DROP",295,3.18,61.35,X-RAY DIFFRACTION,Protein,"MES, SODIUM CHLORIDE, ATP, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, SODIUM AZIDE,  DITHIOTHREITOL, PEG 6000, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",6,2000,502,2,1C0G,56564.99
OXYGEN STORAGE/TRANSPORT,,,2.66,51.3,X-RAY DIFFRACTION,,pH 6.8,6.8,,287,2.3,1C0H,32907.54
OXIDOREDUCTASE,"VAPOR DIFFUSION, HANGING DROP",198,3.15,60.94,X-RAY DIFFRACTION,Protein,"100MM HEPES, POLYETHYLENE GLYCOL 10000, 200MM AMMONIUM SULFATE, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 198K",7.5,2002,363,1.9,1C0I,40674.74
OXIDOREDUCTASE,,,3.13,60.72,X-RAY DIFFRACTION,Protein,pH 7.50,7.5,2000,363,1.46,1C0K,40490.55
OXIDOREDUCTASE,"VAPOR DIFFUSION, HANGING DROP",289,3.12,60.58,X-RAY DIFFRACTION,Protein,"100MM HEPES 16% POLYETHYLENE GLYCOL PEG 200MM AMMONIUM SULFATE, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 289K",7.5,2000,363,1.73,1C0L,40543.54
TRANSFERASE,HANGING DROP VAPOR DIFFUSION METHOD,277,2.4,47.9,X-RAY DIFFRACTION,Protein,"PLATE-SHAPED CRYSTALS WERE INFREQUENTLY GROWN BY HANGING DROP VAPOR DIFFUSION METHOD.  RESERVOIR SOLUTION CONTAINED 0.050M KCL, 0.01M MGCL2, 0.05M SODIUM CACODYLATE, PH 7.0, 10% PEG 3350, and 20% (V/V) ETHYLENE GLYCOL. THE DROP CONTAINED 1:1 MIXTURE OF RESERVOIR SOLUTION AND PROTEIN (10-15 MG/ML), HANGING DROP VAPOR DIFFUSION METHOD, temperature 277K",7,2000,952,2.53,1C0M,106398.12
LYASE,"VAPOR DIFFUSION, HANGING DROP",298,,,X-RAY DIFFRACTION,Protein,"sodium acetate, pottasium phosphate, pH 6.8, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",6.8,2000,406,2.8,1C0N,44384.23
RNA,,,,,SOLUTION NMR,RNA,,,1999,14,,1C0O,4632.78
OXIDOREDUCTASE,"VAPOR DIFFUSION, HANGING DROP",298,3.14,60.85,X-RAY DIFFRACTION,Protein,"100 MM HEPES 200 MM AMMONIUM SULFATE 16% POLYETHYLENE GLYCOL (PEG) 10000, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7.5,2000,363,1.2,1C0P,40613.66
ANTIBIOTIC,"VAPOR DIFFUSION, HANGING DROP",291,2.88,57.31,X-RAY DIFFRACTION,Protein,"Sodium chloride, 2-acetoxy-D-propanoic acid, pH 4.6,  vapor diffusion/hanging drop, temperature 291K",4.6,1999,14,1,1C0Q,3179.1
ANTIBIOTIC,,,2.9,57.63,X-RAY DIFFRACTION,Protein,"SODIUM CHLORIDE, LACTIC ACID, PH 4.6, VAPOR DIFFUSION/HANGING DROP, TEMPERATURE 291K",4.6,1999,14,1,1C0R,3179.1
TRANSFERASE,"VAPOR DIFFUSION, SITTING DROP",277,2.46,50.06,X-RAY DIFFRACTION,Protein,"see reference 9, pH 5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",5,1999,1000,2.7,1C0T,116275.37
TRANSFERASE,"VAPOR DIFFUSION, HANGING DROP",277,2.31,46.76,X-RAY DIFFRACTION,Protein,"see reference 9, pH 5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",5,1999,1000,2.52,1C0U,116319.38
MEMBRANE PROTEIN,,,,,SOLUTION NMR,Protein,,,1998,79,,1C0V,8259.06
GENE REGULATION/DNA,"VAPOR DIFFUSION, HANGING DROP",,5.39,77.18,X-RAY DIFFRACTION,Protein#DNA,"VAPOR DIFFUSION, HANGING DROP",,1999,942,3.2,1C0W,114180.21
DNA,,,,,SOLUTION NMR,DNA,,,1999,23,,1C0Y,7186.84
HYDROLASE,,,2.03,39.4,X-RAY DIFFRACTION,Protein,"SODIUM CHLORIDE, PH = 5.5",5.5,1998,129,2.03,1C10,14960.75
DNA,,,,,SOLUTION NMR,DNA,,,1997,22,,1C11,6520.27
IMMUNE SYSTEM,"VAPOR DIFFUSION, HANGING DROP",20,2.41,49.05,X-RAY DIFFRACTION,Protein,"PEG 8000, SODIUM ACETATE, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 20.0K",4,1999,434,2.6,1C12,47549.83
